Title,OS visitors Earnings: Mn £ (NSA),OS visitors Earnings: Mn £ (SA),OS visitors: # in Thousands (NSA),OS visitors: # in Thousands(SA),UK visitors Expenditure: Mn £ (NSA),UK visitors Expenditure: Mn £ (SA),UK visitors: # in Thousands (NSA),UK visitors: # in Thousands (SA)
2022 APR,,,2252,,,,6234,
2022 MAY,,,2728,,,,6374,
2022 JUN,,,2977,,,,7815,
2022 JUL,,,3445,,,,7139,
2022 AUG,,,3545,,,,9361,
2022 SEP,,,2956,,,,8452,
2022 OCT,,,3322,,,,7418,
2022 NOV,,,3238,,,,4491,
2022 DEC,,,3038,,,,4089,
2023 JAN,,,2900,,,,5352,
2023 FEB,,,2193,,,,4718,
2023 MAR,,,2598,,,,5205,
2023 APR,,,3118,,,,7331,
2023 MAY,,,3292,,,,7516,
2023 JUN,,,3472,,,,8525,
2023 JUL,,,3880,,,,7410,
