OS visitors: # in Thousands (NSA),UK visitors: # in Thousands (NSA),Month,Year
2403,6602,6,2004
2905,6367,7,2004
3132,8153,8,2004
2375,6713,9,2004
2250,6227,10,2004
2143,4273,11,2004
2355,3704,12,2004
2129,4293,1,2005
1851,3913,2,2005
2191,4615,3,2005
2331,5445,4,2005
2769,5394,5,2005
2768,6578,6,2005
3116,6494,7,2005
3206,8113,8,2005
2536,7160,9,2005
2449,6467,10,2005
2389,4284,11,2005
2235,3686,12,2005
2261,4444,1,2006
1786,4092,2,2006
2304,4594,3,2006
2920,6059,4,2006
2836,5806,5,2006
2720,6873,6,2006
3530,6724,7,2006
3705,8393,8,2006
3061,7261,9,2006
2511,6665,10,2006
2569,4440,11,2006
2512,4184,12,2006
2298,4475,1,2007
2012,4098,2,2007
2427,4922,3,2007
2872,5867,4,2007
2941,5450,5,2007
2698,6659,6,2007
3349,6827,7,2007
3350,8656,8,2007
2865,7517,9,2007
2817,6586,10,2007
2598,4234,11,2007
2551,4158,12,2007
2349,4724,1,2008
2249,4553,2,2008
2597,5085,3,2008
2699,5771,4,2008
3042,5873,5,2008
2665,6904,6,2008
3357,6835,7,2008
3426,8574,8,2008
2575,7058,9,2008
2661,5812,10,2008
2177,4132,11,2008
2091,3687,12,2008
2242,4065,1,2009
1848,3553,2,2009
2400,4049,3,2009
2593,5588,4,2009
2601,5464,5,2009
2777,6155,6,2009
3247,6320,7,2009
3296,7731,8,2009
2718,7299,9,2009
2666,5760,10,2009
2352,3883,11,2009
2332,3646,12,2009
2187,3913,1,2010
1875,3729,2,2010
2233,4195,3,2010
2286,5061,4,2010
2776,5406,5,2010
2598,6548,6,2010
3282,6697,7,2010
3160,8793,8,2010
2532,6777,9,2010
2846,6304,10,2010
2480,4030,11,2010
2143,3196,12,2010
2215,4001,1,2011
1871,3750,2,2011
2497,4197,3,2011
2691,5731,4,2011
2853,6179,5,2011
2918,6620,6,2011
3465,6693,7,2011
3286,8717,8,2011
2653,7349,9,2011
2889,6387,10,2011
2340,4078,11,2011
2209,3792,12,2011
2392,3905,1,2012
1835,4032,2,2012
2419,4350,3,2012
2963,5624,4,2012
3045,5380,5,2012
2614,7008,6,2012
3429,6498,7,2012
2855,8355,8,2012
2814,7513,9,2012
2786,6294,10,2012
2553,4139,11,2012
2517,3759,12,2012
2290,4272,1,2013
2019,3947,2,2013
2245,4316,3,2013
2960,5716,4,2013
3152,5857,5,2013
3000,6903,6,2013
3356,6839,7,2013
3639,9093,8,2013
2879,7524,9,2013
3072,6095,10,2013
2481,4472,11,2013
2474,3925,12,2013
2456,4429,1,2014
2186,4019,2,2014
2405,4176,3,2014
3054,5789,4,2014
3404,6595,5,2014
3379,7014,6,2014
3538,7073,7,2014
3671,9546,8,2014
3096,7858,9,2014
3081,6834,10,2014
2655,4798,11,2014
2412,4076,12,2014
2640,4746,1,2015
2281,4097,2,2015
2615,4989,3,2015
3115,6328,4,2015
3598,6911,5,2015
3276,7437,6,2015
3689,7852,7,2015
3709,10065,8,2015
3114,8388,9,2015
3522,7278,10,2015
2660,4958,11,2015
2573,4569,12,2015
2857,4938,1,2016
2514,4931,2,2016
2827,5103,3,2016
3059,6913,4,2016
3672,6965,5,2016
3406,7909,6,2016
3877,7989,7,2016
3854,10530,8,2016
3161,9030,9,2016
3535,7729,10,2016
